# Wavelength (µm)	QE
1.602	0.497668075
1.603	0.497659275
1.604	0.497597677
1.605	0.497597677
1.606	0.497659275
1.607	0.497641675
1.608	0.497712073
1.609	0.49782647
1.61	0.497844069
1.611	0.49843365
1.612	0.498697642
1.613	0.498944034
1.614	0.499040831
1.615	0.499410419
1.616	0.499428018
1.617	0.499709609
1.618	0.500219993
1.619	0.50092397
1.62	0.501293559
1.621	0.501891939
1.622	0.502463921
1.623	0.502930306
1.624	0.50374868
1.625	0.504320662
1.626	0.504778247
1.627	0.505561422
1.628	0.506282999
1.629	0.506978177
1.63	0.507743752
1.631	0.508342133
1.632	0.509160507
1.633	0.50998768
1.634	0.510823654
1.635	0.511510032
1.636	0.51217881
1.637	0.512865188
1.638	0.513921155
1.639	0.514642731
1.64	0.515329109
1.641	0.51625308
1.642	0.517133052
1.643	0.518021823
1.644	0.518778599
1.645	0.519922562
1.646	0.52061774
1.647	0.521427314
1.648	0.522386484
1.649	0.523248856
1.65	0.523988032
1.651	0.524929602
1.652	0.525545583
1.653	0.526284759
1.654	0.526962337
1.655	0.527745512
1.656	0.528317494
1.657	0.528731081
1.658	0.529091869
1.659	0.529276663
1.66	0.529813446
1.661	0.530200634
1.662	0.530667019
1.663	0.530825414
1.664	0.531195002
1.665	0.531696586
1.666	0.531837381
1.667	0.532136572
1.668	0.532039775
1.669	0.531969377
1.67	0.531802182
1.671	0.531766983
1.672	0.531749384
1.673	0.531450194
1.674	0.531063006
1.675	0.530913411
1.676	0.530411827
1.677	0.530147835
1.678	0.529540655
1.679	0.529188666
1.68	0.528731081
1.681	0.528387892
1.682	0.527886308
1.683	0.527393523
1.684	0.527032735
1.685	0.526443154
1.686	0.525871172
1.687	0.525087997
1.688	0.524516015
1.689	0.523935234
1.69	0.523055262
1.691	0.522553678
1.692	0.521920099
1.693	0.521444914
1.694	0.520899331
1.695	0.520098557
1.696	0.519288983
1.697	0.518602605
1.698	0.517889828
1.699	0.517203449
1.7	0.516719465
1.701	0.516068286
1.702	0.515267511
1.703	0.514721929
1.704	0.513885956
1.705	0.513472369
1.706	0.512997184
1.707	0.512618796
1.708	0.512161211
1.709	0.511809222
1.71	0.511360436
1.711	0.510709257
1.712	0.51032207
1.713	0.510181274
1.714	0.509952482
1.715	0.509873284
1.716	0.509494896
1.717	0.509151707
1.718	0.508922914
1.719	0.508843717
1.72	0.508852517
1.721	0.509046111
1.722	0.508931714
1.723	0.508931714
1.724	0.508922914
1.725	0.508861316
1.726	0.508456529
1.727	0.508482929
1.728	0.508905315
1.729	0.509354101
1.73	0.509459697
1.731	0.509653291
1.732	0.510102077
1.733	0.510445266
1.734	0.510955649
1.735	0.511474833
1.736	0.511985216
1.737	0.512592397
1.738	0.512777191
1.739	0.513252376
1.74	0.51374516
1.741	0.514299542
1.742	0.514915523
1.743	0.515531503
1.744	0.516059486
1.745	0.516649067
1.746	0.517317846
1.747	0.517889828
1.748	0.518717001
1.749	0.519605773
1.75	0.520177754
1.751	0.521453713
1.752	0.522615276
1.753	0.523257656
1.754	0.524190426
1.755	0.525061598
1.756	0.525739176
1.757	0.526319958
1.758	0.527279127
1.759	0.527965505
1.76	0.528511088
1.761	0.529496656
1.762	0.530244632
1.763	0.531353397
1.764	0.53186378
1.765	0.53251496
1.766	0.533482929
1.767	0.534354101
1.768	0.535330869
1.769	0.536202042
1.77	0.53688842
1.771	0.537645195
1.772	0.53842837
1.773	0.539088349
1.774	0.539906723
1.775	0.540557902
1.776	0.541675466
1.777	0.542432242
1.778	0.542933826
1.779	0.54310982
1.78	0.543646603
1.781	0.544306582
1.782	0.544887364
1.783	0.545520943
1.784	0.545837733
1.785	0.546532911
1.786	0.546779303
1.787	0.546673706
1.788	0.5468673
1.789	0.547324886
1.79	0.54782647
1.791	0.548248856
1.792	0.548363252
1.793	0.548636044
1.794	0.548143259
1.795	0.547782471
1.796	0.547025695
1.797	0.547122492
1.798	0.547386484
1.799	0.547580077
1.8	0.546506512
1.801	0.545855333
1.802	0.545855333
1.803	0.546101725
1.804	0.546066526
1.805	0.544711369
1.806	0.544508976
1.807	0.543400211
1.808	0.543373812
1.809	0.542731433
1.81	0.54186026
1.811	0.541693066
1.812	0.541833861
1.813	0.541992256
1.814	0.538604365
1.815	0.537064414
1.816	0.534785287
1.817	0.535234073
1.818	0.536034847
1.819	0.537521999
1.82	0.534723689
1.821	0.534899683
1.822	0.534565294
1.823	0.531406195
1.824	0.52968145
1.825	0.528616684
1.826	0.529443858
1.827	0.528414291
1.828	0.529593453
1.829	0.526654347
1.83	0.523838437
1.831	0.522896867
1.832	0.520802534
1.833	0.520547342
